Player,Hold_Count,sRE24,sTmRDiff,aTmRDiff,a_aLI,sIR,aIR,TmRS,sWPA,aWPA,sIP,aIP,sH,aH,sR,aR,sER,aER,sUER,aUER,sHR,aHR,sBB,aBB,sIBB,aIBB,s_SO,aSO,sHBP,aHBP,sBK,aBK,sWP,aWP,sBF,aBF,sBR,aBR,sIS,aIS,Hold_n_Loss,5+_Holds,Team,BONUS,ERA,FIP,K/9,BB/9,BAA,OBP,WHIP,RA9,Team_Sit_Player,SV,BS,MY_STATs_FINALLY,xHOLDS,is_xHolds_M/L_Holds,Teams_Holds,Better_xHolds,player_id
Austin Cox,2,0.62,3,1.5,1.165,0,0,,0.085,0.0425,2      ,1      ,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,2,1,0,0,0,0,0,0,7,3.5,1,0.5,0,0,0,FALSE,ATL,,0,2.635,0.222222222,0.111111111,0,0.142857143,0.5,0,128,0,0,,2.328125,TRUE,73,2.401046875,680735
Rafael Montero,8,-1.61,-3,-0.375,2.4275,5,0.625,,-0.082,-0.01025,6  1/3 , 19/24,8,1,6,0.75,6,0.75,0,0,0,0,5,0.625,0,0,4,0.5,0,0,0,0,0,0,33,4.125,13,1.625,3,0.375,0,TRUE,ATL,,8.526315789,4.240263158,0.444444444,0.555555556,0.242424242,0.393939394,2.052631579,8.526315789,128,0,1,,9.3125,TRUE,73,9.6041875,606160
Raisel Iglesias,2,0.5,9,4.5,1.45,0,0,,0.039,0.0195,1  2/3 ,  5/6 ,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,7,3.5,3,1.5,0,0,0,FALSE,ATL,,0,1.935,0.111111111,0,0.428571429,0.428571429,1.8,0,128,29,5,,2.328125,TRUE,73,2.401046875,628452
Enyel De Los Santos,6,-0.35,20,3.333333333,1.326666667,3,0.5,,0.095,0.015833333,5      ,  5/6 ,5,0.833333333,2,0.333333333,2,0.333333333,0,0,2,0.333333333,2,0.333333333,0,0,5,0.833333333,0,0,0,0,0,0,21,3.5,7,1.166666667,1,0.166666667,0,TRUE,ATL,,3.6,7.535,0.555555556,0.222222222,0.238095238,0.333333333,1.4,3.6,128,0,2,,6.984375,TRUE,73,7.203140625,660853
Dietrich Enns,4,-0.65,5,1.25,1.0775,0,0,,0.073,0.01825,3  2/3 , 11/12,4,1,3,0.75,3,0.75,0,0,1,0.25,0,0,0,0,6,1.5,0,0,0,0,0,0,15,3.75,4,1,0,0,0,FALSE,BAL,,7.363636364,3.407727273,0.666666667,0,0.266666667,0.266666667,1.090909091,7.363636364,163,2,0,,3.656441718,FALSE,105,3.770969325,608650
Rico Garcia,10,4.62,13,1.3,2.479,9,0.9,,1.089,0.1089,9      ,  9/10,7,0.7,2,0.2,2,0.2,0,0,1,0.1,2,0.2,0,0,12,1.2,0,0,0,0,0,0,35,3.5,9,0.9,1,0.1,0,TRUE,BAL,,2,2.579444444,1.333333333,0.222222222,0.2,0.257142857,1,2,163,0,0,,9.141104294,FALSE,105,9.427423313,670329
Yaramil Hiraldo,2,1.42,3,1.5,0.91,2,1,,0.125,0.0625,2  1/3 ,1  1/6 ,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,3,1.5,0,0,0,0,1,0.5,7,3.5,1,0.5,0,0,0,FALSE,BAL,,0,1.849285714,0.333333333,0.111111111,0,0.142857143,0.428571429,0,163,0,1,,1.828220859,FALSE,105,1.885484663,682274
Kade Strowd,5,0.38,9,1.8,1.484,0,0,,0.066,0.0132,4      ,  4/5 ,3,0.6,1,0.2,1,0.2,0,0,0,0,4,0.8,0,0,4,0.8,0,0,0,0,1,0.2,19,3.8,7,1.4,0,0,0,TRUE,BAL,,2.25,4.135,0.444444444,0.444444444,0.157894737,0.368421053,1.75,2.25,163,0,0,,4.570552147,FALSE,105,4.713711656,669704
Keegan Akin,16,1.97,36,2.25,1.913125,12,0.75,,0.541,0.0338125,14  2/3 , 11/12,15,0.9375,5,0.3125,5,0.3125,0,0,1,0.0625,7,0.4375,0,0,14,0.875,0,0,0,0,1,0.0625,65,4.0625,22,1.375,3,0.1875,0,TRUE,BAL,,3.068181818,3.544090909,1.555555556,0.777777778,0.230769231,0.338461538,1.5,3.068181818,163,8,6,,14.62576687,FALSE,105,15.0838773,669211
Shawn Dubin,8,1.88,10,1.25,1.75,1,0.125,,0.354,0.04425,7  2/3 , 23/24,6,0.75,1,0.125,1,0.125,0,0,1,0.125,4,0.5,0,0,4,0.5,1,0.125,0,0,0,0,32,4,11,1.375,0,0,0,TRUE,BAL,,1.173913043,5.743695652,0.444444444,0.444444444,0.1875,0.34375,1.304347826,1.173913043,163,0,1,,7.312883436,FALSE,105,7.54193865,681869
Yennier Cano,17,2.89,41,2.411764706,1.640588235,6,0.352941176,,0.446,0.026235294,14      , 14/17,13,0.764705882,4,0.235294118,4,0.235294118,0,0,0,0,5,0.294117647,0,0,11,0.647058824,0,0,0,0,0,0,57,3.352941176,18,1.058823529,2,0.117647059,0,TRUE,BAL,,2.571428571,2.635,1.222222222,0.555555556,0.228070175,0.315789474,1.285714286,2.571428571,163,2,5,,15.5398773,FALSE,105,16.02661963,666974
Grant Wolfram,1,-0.51,-1,-1,1.33,0,0,,-0.041,-0.041,1      ,1      ,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,5,5,2,2,0,0,0,FALSE,BAL,,9,4.135,0.111111111,0.111111111,0.2,0.4,2,9,163,0,0,,0.914110429,FALSE,105,0.942742331,664991
Andrew Kittredge,15,3.62,34,2.266666667,1.441333333,4,0.266666667,,0.861,0.0574,14  1/3 , 43/45,6,0.4,3,0.2,2,0.133333333,1,0.066666667,1,0.066666667,1,0.066666667,0,0,19,1.266666667,0,0,0,0,0,0,50,3.333333333,8,0.533333333,1,0.066666667,0,TRUE,BAL,,1.255813953,1.600116279,2.111111111,0.111111111,0.12,0.14,0.488372093,1.88372093,163,5,1,,13.71165644,FALSE,105,14.14113497,552640
Seranthony Domínguez,20,11.05,44,2.2,2.036,13,0.65,,1.965,0.09825,18  2/3 , 14/15,7,0.35,2,0.1,2,0.1,0,0,1,0.05,7,0.35,0,0,29,1.45,0,0,0,0,2,0.1,69,3.45,14,0.7,0,0,0,TRUE,BAL,,0.964285714,1.849285714,3.222222222,0.777777778,0.101449275,0.202898551,0.75,0.964285714,163,2,3,,18.28220859,FALSE,105,18.85484663,622554
